Sample,Time,XCenter,YCenter
2492,99.64,324.6817676,242.5410155
2493,99.68,324.616592,242.4742912
2494,99.72,324.5547859,242.3990443
2495,99.76,324.4831231,242.3278566
2496,99.8,324.4180118,242.2611993
2497,99.84,324.356273,242.1860264
2498,99.88,324.2912037,242.1194133
2499,99.92,324.2196325,242.0483197
2500,99.96,324.1579609,241.9732206
2501,100,324.0929556,241.9066741
2502,100.04,324.0279706,241.8401486
2503,100.08,323.9598489,241.7606262
2504,100.12,323.8949073,241.6941462
2505,100.16,323.829986,241.6276869
2506,100.2,323.7684463,241.552733
2507,100.24,323.6970581,241.4818286
2508,100.28,323.6355637,241.4069249
2509,100.32,323.5707271,241.3405546
2510,100.36,323.5059108,241.2742051
2511,100.4,323.4444809,241.1993726
2512,100.44,323.373206,241.1285855
2513,100.48,323.3084528,241.0623016
2514,100.52,323.2470891,240.9875418
2515,100.56,323.182377,240.9213014
2516,100.6,323.111192,240.8506065
2517,100.64,323.0498941,240.7759191
2518,100.68,322.9852449,240.709744
2519,100.72,322.9206156,240.6435894
2520,100.76,322.8528955,240.5645038
2521,100.8,322.7883088,240.4983938
2522,100.84,322.7237421,240.4323042
2523,100.88,322.6625736,240.3577593
2524,100.92,322.5915682,240.28725
2525,100.96,322.5270637,240.2212252
2526,101,322.4659605,240.1467521
2527,101.04,322.4014966,240.0807701
2528,101.08,322.3370526,240.0148083
2529,101.12,322.2695417,239.9359501
2530,101.16,322.2051397,239.8700325
2531,101.2,322.1407575,239.8041351
2532,101.24,322.0797825,239.7298031
2533,101.28,322.0089763,239.6594993
2534,101.32,321.9480452,239.585216
2535,101.36,321.8837453,239.519405
2536,101.4,321.819465,239.4536142
2537,101.44,321.752139,239.3749572
2538,101.48,321.6879005,239.3092101
2539,101.52,321.6236815,239.243483
2540,101.56,321.5628774,239.1693396
2541,101.6,321.4986984,239.1036546
2542,101.64,321.4280894,239.0335541
2543,101.68,321.3673494,238.9594811
2544,101.72,321.3032314,238.8938595
2545,101.76,321.2391327,238.8282578
2546,101.8,321.1720121,238.7498239
2547,101.84,321.1079547,238.6842655
2548,101.88,321.0439168,238.6187269
2549,101.92,320.9833025,238.5447924
2550,101.96,320.9128679,238.4748719
2551,102,320.8488904,238.4093963
2552,102.04,320.7883395,238.3355314
2553,102.08,320.7244015,238.2700973
2554,102.12,320.654053,238.2002651
2555,102.16,320.5935653,238.1264696
2556,102.2,320.5296874,238.061098
2557,102.24,320.4658286,237.9957461
2558,102.28,320.4054023,237.9220183
2559,102.32,320.3351611,237.8522972
2560,102.36,320.2747775,237.7786168
2561,102.4,320.2109986,237.7133487
2562,102.44,320.1472388,237.6481001
2563,102.48,320.0805011,237.5700825
2564,102.52,320.0167818,237.5048763
2565,102.56,319.9530815,237.4396896
2566,102.6,319.8928213,237.3661451
2567,102.64,319.8227512,237.2966005
2568,102.68,319.7591102,237.2314755
2569,102.72,319.6989122,237.1579993
2570,102.76,319.6353099,237.092915
2571,102.8,319.5653241,237.023457
2572,102.84,319.5051881,236.950049
2573,102.88,319.4416448,236.885026
2574,102.92,319.4194778,236.8591059
2575,102.96,319.3973135,236.8331887
2576,103,319.3717228,236.8156336
2577,103.04,319.3495635,236.7897216
2578,103.08,319.3274068,236.7638125
2579,103.12,319.3052529,236.7379064
2580,103.16,319.2831015,236.7120033
2581,103.2,319.2609529,236.6861032
2582,103.24,319.2353757,236.6685603
2583,103.28,319.2132321,236.6426653
2584,103.32,319.1846982,236.6123888
2585,103.36,319.1625605,236.5865002
2586,103.4,319.1404254,236.5606146
2587,103.44,319.1182929,236.534732
2588,103.48,319.0927298,236.5172017
2589,103.52,319.0706023,236.4913242
2590,103.56,319.0484775,236.4654496
2591,103.6,319.0263554,236.439578
2592,103.64,319.0042359,236.4137094
2593,103.68,318.982119,236.3878437
2594,103.72,318.9565693,236.3703256
2595,103.76,318.9344575,236.3444649
2596,103.8,318.9123482,236.3186073
2597,103.84,318.8902416,236.2927526
2598,103.88,318.8681377,236.2669008
