Sample,Time,XCenter,YCenter
1041,41.6,256.6866188,330.4222858
1042,41.64,256.2408316,329.7720789
1043,41.68,255.8082429,329.1164243
1044,41.72,255.3642566,328.4698782
1045,41.76,254.9286149,327.8303649
1046,41.8,254.4938359,327.1926092
1047,41.84,254.0573284,326.5389817
1048,41.88,253.6242705,325.9047473
1049,41.92,253.1846365,325.267062
1050,41.96,252.7458545,324.6311124
1051,42,252.3202002,323.9897278
1052,42.04,251.8830994,323.3572247
1053,42.08,251.4542093,322.7315276
1054,42.12,251.0187529,322.1023903
1055,42.16,250.5914752,321.4800047
1056,42.2,250.1699129,320.847099
1057,42.24,249.7368738,320.2229378
1058,42.28,248.9481248,319.2319242
1059,42.32,248.1664866,318.2330563
1060,42.36,247.382015,317.2503932
1061,42.4,246.6046177,316.2598572
1062,42.44,245.8242887,315.2853298
1063,42.48,245.045974,314.3147705
1064,42.52,244.2746808,313.3363099
1065,42.56,243.5003129,312.3735755
1066,42.6,242.7257007,311.3980666
1067,42.64,241.9551645,310.4429766
1068,42.68,241.191584,309.4799511
1069,42.72,240.4247442,308.532289
1070,42.76,239.6596999,307.5882493
1071,42.8,238.9015656,306.6362514
1072,42.84,238.1400383,305.699356
1073,42.88,237.385392,304.7544886
1074,42.92,236.6272657,303.8245541
1075,42.96,235.7754723,302.7615269
1076,43,234.9257968,301.7028957
1077,43.04,234.0781987,300.6485963
1078,43.08,233.2326383,299.5985655
1079,43.12,232.3890763,298.5527409
1080,43.16,231.5474739,297.5110611
1081,43.2,230.7077927,296.4734657
1082,43.24,229.8699951,295.4398948
1083,43.28,229.0340438,294.4102897
1084,43.32,228.1999018,293.3845924
1085,43.36,227.3675329,292.3627458
1086,43.4,226.5369011,291.3446935
1087,43.44,225.7079711,290.33038
1088,43.48,224.8807077,289.3197505
1089,43.52,224.0550765,288.312751
1090,43.56,223.438709,287.3550918
1091,43.6,222.8306727,286.4050694
1092,43.64,222.2169537,285.4538291
1093,43.68,221.6115108,284.5101207
1094,43.72,221.0003617,283.5651463
1095,43.76,220.3974353,282.6276016
1096,43.8,219.7887795,281.6887423
1097,43.84,219.1813456,280.7528947
1098,43.88,218.5820567,279.8243283
1099,43.92,217.977004,278.8943799
1100,43.96,217.3800463,277.9716173
1101,44,216.7773023,277.0474279
1102,44.04,216.1826046,276.130331
1103,44.08,215.5820981,275.2117636
1104,44.12,214.9826872,274.2959625
1105,44.16,214.3912522,273.3871187
1106,44.2,213.7939749,272.47674
1107,44.24,213.2046281,271.5732314
1108,44.28,212.609417,270.6681459
1109,44.32,212.0220921,269.7698456
1110,44.36,211.4288812,268.8699274
1111,44.4,211.4618922,268.136693
1112,44.44,211.4948019,267.4056438
1113,44.48,211.5207673,266.6726181
1114,44.52,211.5478974,265.9558315
1115,44.56,211.5805239,265.2312286
1116,44.6,211.6062337,264.5046301
1117,44.64,211.6386718,263.7842809
1118,44.68,211.6710123,263.0660346
1119,44.72,211.7032558,262.349878
1120,44.76,211.729863,261.6455317
1121,44.8,211.755147,260.9293936
1122,44.84,211.7871195,260.219403
1123,44.88,211.8189973,259.5114502
1124,44.92,211.844031,258.8014531
1125,44.96,211.8757297,258.0975445
1126,45,211.9018418,257.4051827
1127,45.04,211.9333629,256.7052307
1128,45.08,211.9647922,256.0072538
1129,45.12,211.9894212,255.3072038
1130,45.16,212.0206768,254.6131472
1131,45.2,212.0518422,253.9210292
1132,45.24,212.0707848,253.2361883
1133,45.28,212.1017871,252.5478889
1134,45.32,212.1327009,251.8614927
1135,45.36,211.4987762,251.066673
1136,45.4,210.8710105,250.2643314
1137,45.44,210.2384888,249.4729862
1138,45.48,209.6066406,248.6833318
1139,45.52,208.980939,247.8861622
1140,45.56,208.3504044,247.0998471
1141,45.6,207.7204992,246.3151565
1142,45.64,207.0967291,245.5229581
1143,45.68,206.4680501,244.7414757
1144,45.72,205.8399573,243.9615534
1145,45.76,205.217989,243.1741309
1146,45.8,204.5910368,242.3972892
1147,45.84,203.9646284,241.621945
1148,45.88,203.3443348,240.8391087
1149,45.92,202.7189832,240.0667212
1150,45.96,201.9180234,239.2289495
1151,46,201.1174899,238.3927261
1152,46.04,200.3173592,237.5580226
1153,46.08,199.517608,236.7248106
1154,46.12,198.7248527,235.8969396
1155,46.16,197.9257917,235.0666221
1156,46.2,197.1270409,234.2377133
1157,46.24,196.3285774,233.4101859
1158,46.28,195.5303783,232.5840129
1159,46.32,194.732421,231.7591676
1160,46.36,193.9346828,230.9356234
1161,46.4,193.1371412,230.113354
1162,46.44,192.3464257,229.2961734
1163,46.48,191.5492122,228.4763713
1164,46.52,190.7521283,227.6577663
1165,46.56,189.9551517,226.8403329
1166,46.6,189.1582604,226.0240457
1167,46.64,189.1450212,224.6350825
1168,46.68,189.1323606,223.2652751
1169,46.72,189.118674,221.8899183
1170,46.76,189.0989611,220.5296329
1171,46.8,189.0848474,219.1675486
1172,46.84,189.0705159,217.8120004
1173,46.88,189.0567746,216.4748996
1174,46.92,189.0420134,215.1321235
1175,46.96,189.0270395,213.7956417
1176,47,189.0126623,212.4772055
1177,47.04,188.9972684,211.1530246
1178,47.08,188.975965,209.8428884
1179,47.12,188.9601692,208.5307121
1180,47.16,188.9441682,207.2244499
1181,47.2,188.928774,205.9356003
1182,47.24,188.9123676,204.6408988
1183,47.28,188.3241466,203.948882
1184,47.32,187.7424682,203.2612483
1185,47.36,187.1543888,202.5705476
1186,47.4,186.5728356,201.8842016
1187,47.44,185.9848561,201.1947643
1188,47.48,185.3976722,200.5173576
1189,47.52,184.8097405,199.8291158
1190,47.56,184.2218211,199.1414607
1191,47.6,183.6403892,198.4580921
1192,47.64,183.052466,197.7715713
1193,47.68,182.4710155,197.0893107
1194,47.72,181.8830471,196.4038733
1195,47.76,181.301537,195.7226702
1196,47.8,180.7134823,195.0382655
1197,47.84,180.1253673,194.3543583
1198,47.88,179.5378693,193.6821949
1199,47.92,178.9495954,192.99923
1200,47.96,178.3677456,192.3204372
1201,48,177.7792822,191.6383802
1202,48.04,177.19723,190.9604712
1203,48.08,176.6085361,190.2792727
1204,48.12,176.378213,189.0364247
1205,48.16,176.1546605,187.8013939
1206,48.2,175.9248363,186.5667041
1207,48.24,175.6952535,185.3360116
1208,48.28,175.4724003,184.1129661
1209,48.32,175.243272,182.8901038
1210,48.36,175.0201991,181.663861
1211,48.4,174.791497,180.4486528
1212,48.44,174.5694719,179.2408752
1213,48.48,174.3411664,178.0330764
1214,48.52,174.1130513,176.8289061
1215,48.56,173.8915752,175.6320118
1216,48.6,173.663814,174.4349475
1217,48.64,172.9081618,173.6815131
1218,48.68,172.1577256,172.9211155
1219,48.72,171.4008295,172.1677141
1220,48.76,170.6432743,171.4142938
1221,48.8,169.8850401,170.6608356
1222,48.84,169.1320035,169.9003923
1223,48.88,168.3723671,169.1468143
1224,48.92,167.6119919,168.3931411
1225,48.96,166.8508576,167.6393535
1226,49,166.0949019,166.8785577
1227,49.04,165.3322043,166.124497
1228,49.08,164.5686866,165.3702642
1229,49.12,163.8043282,164.6158402
1230,49.16,163.0451287,163.8543831
1231,49.2,162.2790426,163.0995313
1232,49.24,161.5120534,162.3444301
1233,49.28,161.1631013,161.6436438
1234,49.32,160.8267783,160.9404136
1235,49.36,160.4777859,160.240757
1236,49.4,160.1348296,159.5349085
1237,49.44,159.7923725,158.8401063
1238,49.48,159.4432807,158.1420599
1239,49.52,159.1002214,157.437839
1240,49.56,158.7576427,156.7445948
1241,49.6,158.4144927,156.041415
