Sample,Time,X.center,Y.center,,,
571,22.8,279.0573891,353.0280093,,,
572,22.84,278.5362267,352.7974894,,,
573,22.88,278.01533,352.5675434,,,
574,22.92,277.494695,352.3381689,,,
575,22.96,276.9743175,352.1093635,,,
576,23,276.4541935,351.8811248,,,
577,23.04,275.9343189,351.6534505,,,
578,23.08,275.4146896,351.426338,,,
579,23.12,274.8953017,351.199785,,,
580,23.16,274.376151,350.9737892,,,
581,23.2,273.8572335,350.7483481,,,
582,23.24,272.7703064,350.6198776,,,
583,23.28,271.6796514,350.4737751,,,
584,23.32,270.5918112,350.3488551,,,
585,23.36,269.508185,350.212052,,,
586,23.4,268.4193006,350.0906466,,,
587,23.44,267.3267139,349.9516244,,,
588,23.48,266.2366666,349.8337256,,,
589,23.52,264.6445583,349.2028626,,,
590,23.56,263.0458697,348.5711072,,,
591,23.6,261.4562698,347.9497093,,,
592,23.64,259.8677511,347.3329372,,,
593,23.68,258.2723591,346.7151726,,,
594,23.72,256.6856865,346.1074981,,,
595,23.76,255.7960814,346.8372581,,,
596,23.8,254.8954009,347.5652969,,,
597,23.84,254.0045014,348.2890134,,,
598,23.88,253.0972831,349.024722,,,
599,23.92,252.1946077,349.7699026,,,
600,23.96,251.2859815,350.4995907,,,
601,24,250.3765912,351.2526558,,,
602,24.04,249.4558667,352.0041631,,,
603,24.08,248.1294367,351.8700569,,,
604,24.12,246.7935731,351.7328496,,,
605,24.16,245.4640422,351.6036548,,,
606,24.2,244.1249716,351.4713737,,,
607,24.24,242.79212,351.3470609,,,
608,24.28,241.4496211,351.2196769,,,
609,24.32,240.1132283,351.1002182,,,
610,24.36,238.7670789,350.9777038,,,
611,24.4,238.9381625,350.8800095,,,
612,24.44,239.1170478,350.7878721,,,
613,24.48,239.2879336,350.6903609,,,
614,24.52,239.4587216,350.5929412,,,
615,24.56,239.6373071,350.5010771,,,
616,24.6,239.8078983,350.4038397,,,
617,24.64,239.9783921,350.3066935,,,
618,24.68,240.1566794,350.2151015,,,
619,24.72,240.3269775,350.1181369,,,
620,24.76,240.4971788,350.0212631,,,
621,24.8,240.6751695,349.9299421,,,
622,24.84,240.8451761,349.8332491,,,
623,24.88,241.0150864,349.7366465,,,
624,24.92,241.192782,349.6455954,,,
625,24.96,241.3624987,349.549173,,,
626,25,241.3624987,349.549173,,,
627,25.04,241.3624987,349.549173,,,
628,25.08,241.3624987,349.549173,,,
629,25.12,241.3624987,349.549173,,,
630,25.16,241.3624987,349.549173,,,
631,25.2,241.3624987,349.549173,,,
632,25.24,241.1270618,350.2610401,,,
633,25.28,240.8909903,350.9751984,,,
634,25.32,240.6542806,351.6916608,,,
635,25.36,240.416929,352.4104404,,,
636,25.4,240.1846048,353.1173737,,,
637,25.44,239.9459728,353.8407804,,,
638,25.48,239.7066878,354.5665438,,,
639,25.52,239.4667461,355.2946774,,,
640,25.56,239.226144,356.0251946,,,
641,25.6,238.9848776,356.7581092,,,
642,25.64,238.7429431,357.4934349,,,
643,25.68,238.5003365,358.2311856,,,
644,25.72,238.2570541,358.9713752,,,
645,25.76,238.0188967,359.699412,,,
646,25.8,237.7742657,360.4444726,,,
647,25.84,237.528947,361.1920145,,,
648,25.88,237.2829365,361.9420519,,,
649,25.92,237.0362303,362.6945995,,,
650,25.96,237.2240015,362.6375271,,,
651,26,237.3977659,362.5896335,,,
652,26.04,237.5853767,362.5326964,,,
653,26.08,237.7670647,362.4906113,,,
654,26.12,237.9545148,362.43381,,,
655,26.16,238.1279887,362.3861617,,,
656,26.2,238.3152797,362.3294952,,,
657,26.24,238.4966749,362.2876579,,,
658,26.28,238.6757422,362.225437,,,
659,26.32,238.8569923,362.1837229,,,
660,26.36,239.0439661,362.1273258,,,
661,26.4,239.2250709,362.0857355,,,
662,26.44,239.4038257,362.0237806,,,
663,26.48,239.5847866,361.982313,,,
664,26.52,239.7714457,361.9261843,,,
665,26.56,239.9442041,361.8791453,,,
666,26.6,240.1307074,361.8231501,,,
667,26.64,240.3113815,361.781928,,,
668,26.68,240.4977286,361.7260668,,,
669,26.72,240.6702047,361.6792699,,,
670,26.76,240.8563972,361.6235416,,,
671,26.8,240.7518474,361.6807782,,,
672,26.84,240.6472627,361.7380479,,,
673,26.88,240.542643,361.7953509,,,
674,26.92,240.4403022,361.8730932,,,
675,26.96,240.3356094,361.9304678,,,
676,27,240.2308816,361.9878757,,,
677,27.04,240.1261186,362.0453169,,,
678,27.08,240.0213205,362.1027914,,,
679,27.12,239.9164872,362.1602994,,,
680,27.16,239.8116187,362.2178407,,,
681,27.2,239.709007,362.2958591,,,
682,27.24,239.6040648,362.3534725,,,
683,27.28,239.4990872,362.4111193,,,
684,27.32,239.3940743,362.4687997,,,
685,27.36,239.289026,362.5265136,,,
686,27.4,239.1839422,362.5842612,,,
687,27.44,239.078823,362.6420423,,,
688,27.48,238.9759384,362.7203383,,,
689,27.52,238.8707449,362.7781918,,,
690,27.56,238.7655159,362.8360791,,,
691,27.6,238.6602511,362.894,,,
692,27.64,238.5549507,362.9519548,,,
693,27.68,238.4496146,363.0099432,,,
694,27.72,238.3442427,363.0679655,,,
695,27.76,238.2410834,363.1465408,,,
696,27.8,238.1356367,363.204636,,,
697,27.84,238.0301542,363.262765,,,
698,27.88,237.9246358,363.3209279,,,
699,27.92,237.7064883,363.1669743,,,
700,27.96,237.4803195,363.0074691,,,
701,28,237.2622838,362.8538051,,,
702,28.04,237.0362303,362.6945995,,,
703,28.08,236.8183051,362.5412237,,,
704,28.12,236.5923653,362.3823162,,,
705,28.16,236.3664829,362.22356,,,
706,28.2,236.1487216,362.0706164,,,
707,28.24,235.0421631,360.9175938,,,
708,28.28,233.9383941,359.7707892,,,
709,28.32,232.8373504,358.6301115,,,
710,28.36,231.7389681,357.4954705,,,
711,28.4,230.6431844,356.3667773,,,
712,28.44,230.1757864,355.097116,,,
713,28.48,229.7101538,353.8338065,,,
714,28.52,229.2462651,352.5767771,,,
715,28.56,228.7840991,351.3259571,,,
716,28.6,228.3236347,350.0812766,,,
717,28.64,227.8648514,348.8426668,,,
718,28.68,227.4077287,347.6100595,,,
719,28.72,226.9522464,346.3833876,,,
720,28.76,226.4983848,345.1625846,,,
721,28.8,226.0461242,343.9475852,,,
722,28.84,224.6556127,343.2176802,,,
723,28.88,223.2654569,342.4914786,,,
724,28.92,221.8755825,341.768926,,,
725,28.96,220.4859157,341.0499684,,,
726,29,219.0979532,340.3533747,,,
727,29.04,217.7084398,339.6414051,,,
728,29.08,216.3189154,338.9328721,,,
729,29.12,214.9293077,338.2277294,,,
730,29.16,213.539545,337.5259241,,,
731,29.2,213.0390994,336.0004536,,,
732,29.24,212.540672,334.4837469,,,
733,29.28,212.0378277,332.9890677,,,
734,29.32,211.5433451,331.4894501,,,
735,29.36,211.0507904,329.9982405,,,
736,29.4,210.5601347,328.5153237,,,
737,29.44,210.0649435,327.0536669,,,
738,29.48,209.5780002,325.5869242,,,
739,29.52,209.0928715,324.1281413,,,
740,29.56,208.5848501,323.5736621,,,
741,29.6,208.0836715,323.0074706,,,
742,29.64,207.5764837,322.4553532,,,
743,29.68,207.0773505,321.9091428,,,
744,29.72,206.570958,321.3593166,,,
745,29.76,206.0714268,320.7978331,,,
746,29.8,205.5658193,320.250295,,,
747,29.84,205.0605899,319.7038764,,,
748,29.88,204.5622362,319.1458412,,,
749,29.92,204.0577561,318.6016567,,,
750,29.96,203.5612683,318.0632446,,,
751,30,203.0575006,317.5212272,,,
752,30.04,202.5606279,316.9676468,,,
753,30.08,202.0575628,316.4277938,,,
754,30.12,201.9017169,315.6856712,,,
755,30.16,201.7472159,314.962751,,,
756,30.2,201.5919365,314.2246302,,,
757,30.24,201.4369394,313.4885146,,,
758,30.28,201.2822227,312.7543913,,,
759,30.32,201.1353639,312.0268345,,,
760,30.36,200.9746596,311.3090074,,,
761,30.4,200.820768,310.5807377,,,
762,30.44,199.8674774,309.5187648,,,
763,30.48,198.9154166,308.4607061,,,
764,30.52,197.9645454,307.4065007,,,
765,30.56,197.014824,306.3560886,,,
766,30.6,196.066213,305.3094109,,,
767,30.64,195.1186734,304.266409,,,
768,30.68,194.1721665,303.2270257,,,
769,30.72,193.2266542,302.191204,,,
770,30.76,192.2820984,301.1588881,,,
771,30.8,191.3384617,300.1300228,,,
772,30.84,190.8376531,298.7142524,,,
773,30.88,190.338245,297.305269,,,
774,30.92,189.8402135,295.9029792,,,
775,30.96,189.3435354,294.5072912,,,
776,31,188.8481877,293.1181145,,,
777,31.04,188.3541479,291.7353588,,,
778,31.08,187.8613932,290.3589395,,,
779,31.12,187.3699018,288.9887689,,,
780,31.16,186.8796519,287.6247621,,,
781,31.2,186.3906222,286.2668355,,,
782,31.24,186.0684755,284.7377615,,,
783,31.28,185.7331292,283.2236417,,,
784,31.32,185.4128451,281.7103825,,,
785,31.36,185.0867536,280.2159387,,,
786,31.4,184.768258,278.7180475,,,
787,31.44,184.4365769,277.2344767,,,
788,31.48,184.119822,275.7515503,,,
789,31.52,183.3993215,275.3460077,,,
790,31.56,182.6783721,274.9409251,,,
791,31.6,181.9496002,274.5321698,,,
792,31.64,181.227718,274.1279932,,,
793,31.68,180.5053566,273.7242581,,,
794,31.72,179.7825058,273.3209583,,,
795,31.76,179.0591555,272.9180876,,,
796,31.8,178.3352955,272.5156399,,,
797,31.84,177.6035213,272.1095091,,,
798,31.88,176.878606,271.7078937,,,
799,31.92,176.1531504,271.3066832,,,
800,31.96,176.1700866,270.9518929,,,
801,32,176.1943796,270.6016572,,,
802,32.04,176.21123,270.2477991,,,
803,32.08,176.2354298,269.8984873,,,
804,32.12,176.2521948,269.545556,,,
805,32.16,176.2689192,269.1930875,,,
806,32.2,176.292982,268.8451528,,,
807,32.24,176.3096218,268.4936028,,,
808,32.28,176.3262213,268.1425114,,,
809,32.32,176.3501483,267.7959417,,,
810,32.36,176.3666638,267.4457608,,,
811,32.4,176.3904996,267.1000936,,,
812,32.44,176.4069317,266.7508178,,,
813,32.48,176.4233241,266.401994,,,
814,32.52,176.4470258,266.0576719,,,
815,32.56,176.4633354,265.7097453,,,
816,32.6,176.4633354,265.7097453,,,
817,32.64,176.4633354,265.7097453,,,
818,32.68,176.4633354,265.7097453,,,
819,32.72,176.4633354,265.7097453,,,
820,32.76,176.4633354,265.7097453,,,
821,32.8,176.4633354,265.7097453,,,
822,32.84,176.4633354,265.7097453,,,
