Sample,Time,XCenter,YCenter
572,22.84,252.9500481,271.337591
573,22.88,252.6637284,271.913026
574,22.92,252.3816043,272.4803268
575,22.96,252.0988248,273.0492415
576,23,251.8153865,273.6197786
577,23.04,251.5263816,274.2018263
578,23.08,251.2416033,274.7756628
579,23.12,250.9561551,275.3511483
580,23.16,250.6700334,275.9282915
581,23.2,250.3782838,276.5170956
582,23.24,250.0907923,277.0976102
583,23.28,249.8026161,277.6798098
584,23.32,249.5137514,278.2637035
585,23.36,249.2191959,278.8594119
586,23.4,248.9289307,279.4467511
587,23.44,248.6379654,280.0358123
588,23.48,248.3462962,280.626605
589,23.52,248.0488719,281.22937
590,23.56,247.7557707,281.8236845
591,23.6,247.4619536,282.4197592
592,23.64,247.1674167,283.0176039
593,23.68,246.8670588,283.6275824
594,23.72,246.5710574,284.2290273
595,23.76,247.2558694,285.5160471
596,23.8,247.941691,286.7940417
597,23.84,248.6321487,288.0938477
598,23.88,249.3255095,289.4002297
599,23.92,250.0199396,290.6976423
600,23.96,250.7192198,292.0173936
601,24,250.8882034,294.6203676
602,24.04,251.0598646,297.2515561
603,24.08,251.2342638,299.9116113
604,24.12,251.4114626,302.6012044
605,24.16,251.5915255,305.3210294
606,24.2,251.774517,308.0717948
607,24.24,251.9605048,310.8542361
608,24.28,252.1495585,313.6691093
609,24.32,252.3417494,316.5171932
610,24.36,252.5371509,319.3992904
611,24.4,252.2017842,320.5571142
612,24.44,251.8650384,321.7210462
613,24.48,251.5269,322.8911452
614,24.52,251.2000719,324.0607894
615,24.56,250.8591433,325.2433555
616,24.6,250.5167812,326.4322684
617,24.64,250.1729714,327.6275898
618,24.68,249.8276995,328.8293823
619,24.72,249.4809512,330.0377091
620,24.76,249.1327117,331.2526343
621,24.8,248.7959389,332.4672132
622,24.84,248.4447101,333.6954816
623,24.88,248.0919451,334.9305452
624,24.92,247.7376286,336.1724712
625,24.96,246.4396927,350.2228483
626,25,245.0935353,365.1518386
627,25.04,243.6929224,381.0626094
628,25.08,242.2304515,398.0731366
629,25.12,240.6972705,416.3178891
630,25.16,239.0827326,435.9491336
631,25.2,237.3739807,457.137346
632,25.24,235.5554711,480.0699061
633,25.28,233.60847,504.9468678
634,25.32,231.5106071,531.9722478
635,25.36,231.9674133,534.1473644
636,25.4,232.4349301,536.3074478
637,25.44,232.8970222,538.5079461
638,25.48,233.3617797,540.7211921
639,25.52,233.8373064,542.918836
640,25.56,234.3074443,545.1573186
641,25.6,237.3584268,545.4425104
642,25.64,240.4042253,545.7393286
643,25.68,243.4450808,546.0471998
644,25.72,246.4812126,546.3655174
645,25.76,249.5128173,546.6936406
646,25.8,251.001969,546.7987095
647,25.84,252.4971432,546.8779322
648,25.88,253.9837035,546.9874225
649,25.92,255.4761961,547.0709822
650,25.96,256.960236,547.1845596
651,26,258.4501137,547.2721148
652,26.04,259.9316919,547.3894289
653,26.08,261.1593726,548.9670566
654,26.12,262.3949511,550.5878478
655,26.16,263.6304421,552.1725366
656,26.2,264.8697568,553.7602881
657,26.24,266.1170643,555.3906461
658,26.28,267.3639729,556.9837242
659,26.32,268.479844,556.7036085
660,26.36,269.5829115,556.4135403
661,26.4,270.6952773,556.1366267
662,26.44,271.7948523,555.8497176
663,26.48,272.9102798,555.5478456
664,26.52,274.0063505,555.2640202
665,26.56,275.1117644,554.9931556
666,26.6,276.2044097,554.7122121
667,26.64,277.3064175,554.4441289
668,26.68,278.4067333,554.1773745
669,26.72,279.4942929,553.9004805
670,26.76,280.5912401,553.6362907
671,26.8,281.6754377,553.361922
672,26.84,282.7751581,553.0726865
673,26.88,283.8559695,552.8007595
674,26.92,284.9461943,552.5413191
675,26.96,286.0236796,552.2716247
676,27,287.1105877,552.0143043
677,27.04,287.2045623,551.2124628
678,27.08,287.3034269,550.4506502
679,27.12,287.396908,549.652025
680,27.16,287.5011889,548.8663077
681,27.2,287.5882782,548.0978758
682,27.24,287.6920549,547.3153455
683,27.28,287.7845522,546.5231878
684,27.32,287.881959,545.7706478
685,27.36,287.9739769,544.9816826
686,27.4,288.7723428,545.7629606
687,27.44,289.571615,546.5438879
688,27.48,290.3607354,547.3131829
689,27.52,291.1617501,548.0931966
690,27.56,291.9636122,548.8726395
691,27.6,292.7605815,549.6782629
692,27.64,293.5640959,550.4563557
693,27.68,294.3683928,551.2336478
694,27.72,295.1623413,551.9989103
695,27.76,295.9681235,552.7743793
696,27.8,296.7746181,553.5488121
697,27.84,297.9555016,553.0398908
698,27.88,299.1337213,552.5329265
699,27.92,300.3092842,552.027869
700,27.96,301.4876298,551.4980879
701,28,302.6578536,550.9967767
702,28.04,303.8254384,550.4972213
703,28.08,304.9903889,549.9993715
704,28.12,306.1527089,549.503177
705,28.16,307.3124018,549.0085874
706,28.2,308.4694703,548.5155526
707,28.24,309.6290488,547.9980244
708,28.28,310.780833,547.5080304
709,28.32,311.9299977,547.0194404
710,28.36,313.076543,546.5322041
711,28.4,313.1771223,546.6902544
712,28.44,313.2827233,546.8225218
713,28.48,313.3833315,546.9805217
714,28.52,313.4839549,547.1384985
715,28.56,313.5895944,547.2706777
716,28.6,313.6902462,547.4286021
717,28.64,313.7909127,547.5865024
718,28.68,313.8965899,547.7185907
719,28.72,313.9972842,547.8764368
720,28.76,314.097993,548.0342578
721,28.8,314.2037069,548.1662526
722,28.84,314.3044428,548.3240175
723,28.88,314.4051929,548.4817564
724,28.92,314.5109427,548.6136549
725,28.96,314.6117193,548.7713359
726,29,314.7125097,548.9289899
727,29.04,314.8182944,549.0607895
728,29.08,314.9191107,549.2183836
729,29.12,315.0199405,549.3759498
730,29.16,315.1257592,549.5076478
731,29.2,315.2266143,549.6651523
732,29.24,315.3274826,549.8226279
733,29.28,315.4333344,549.9542215
734,29.32,315.5342272,550.1116335
735,29.36,314.9191107,549.2183836
736,29.4,314.3044428,548.3240175
737,29.44,313.6902462,547.4286021
738,29.48,313.076543,546.5322041
739,29.52,313.076543,546.5322041
740,29.56,313.076543,546.5322041
741,29.6,313.076543,546.5322041
742,29.64,313.076543,546.5322041
743,29.68,313.076543,546.5322041
744,29.72,313.076543,546.5322041
745,29.76,313.076543,546.5322041
746,29.8,313.076543,546.5322041
747,29.84,313.076543,546.5322041
748,29.88,313.076543,546.5322041
749,29.92,313.076543,546.5322041
750,29.96,313.076543,546.5322041
751,30,313.076543,546.5322041
752,30.04,313.076543,546.5322041
753,30.08,313.076543,546.5322041
754,30.12,313.076543,546.5322041
755,30.16,313.076543,546.5322041
756,30.2,313.076543,546.5322041
757,30.24,313.076543,546.5322041
758,30.28,313.076543,546.5322041
759,30.32,314.1750568,545.3333281
760,30.36,315.2693772,544.1412136
761,30.4,316.35954,542.9557868
762,30.44,317.4455804,541.7769743
763,30.48,318.5275329,540.6047035
764,30.52,319.6054314,539.4389026
765,30.56,320.6793092,538.2795001
766,30.6,321.7491989,537.1264257
767,30.64,322.8151325,535.9796091
768,30.68,323.8771414,534.8389811
769,30.72,324.9352562,533.7044729
770,30.76,325.9895072,532.5760163
771,30.8,327.0399238,531.4535439
772,30.84,328.086535,530.3369886
773,30.88,329.1293691,529.2262841
774,30.92,330.0168673,527.1435625
775,30.96,330.8991445,525.0763794
776,31,331.772013,523.0480812
777,31.04,332.6440949,521.0113212
778,31.08,333.5111589,518.989608
779,31.12,334.373271,516.982781
780,31.16,335.2263992,515.013577
781,31.2,336.0788399,513.0358969
782,31.24,337.2011599,512.1153872
783,31.28,338.3237649,511.17656
784,31.32,339.4386632,510.2645406
785,31.36,340.5605365,509.3663327
786,31.4,341.6680962,508.4624054
787,31.44,342.7758614,507.5402958
788,31.48,343.8761178,506.6443446
789,31.52,343.8322804,505.7638472
790,31.56,343.7739308,504.8972656
791,31.6,343.7298661,504.0198182
792,31.64,343.6856861,503.143928
793,31.68,343.6270357,502.2818147
794,31.72,343.5826445,501.4090012
795,31.76,343.5381459,500.5377575
796,31.8,343.4792187,499.6801534
797,31.84,343.4345248,498.8120118
798,31.88,343.3897314,497.9454521
799,31.92,343.3305514,497.0923964
800,31.96,343.2855785,496.228963
801,32,343.2405141,495.3671231
802,32.04,343.1811049,494.5186532
803,32.08,343.1358767,493.6599628
804,32.12,343.0905646,492.8028767
805,32.16,343.0309499,491.9590281
806,32.2,342.9854896,491.1051134
807,32.24,342.9399533,490.2528134
808,32.28,342.8801563,489.4136201
809,32.32,342.8344871,488.5645121
810,32.36,342.7887495,487.7170284
811,32.4,342.7287933,486.8825223
812,32.44,342.6829381,486.0382501
813,32.48,342.6370221,485.1956113
814,32.52,342.5769294,484.3658224
815,32.56,342.5309108,483.5264134
816,32.6,342.4848388,482.6886461
817,32.64,342.4246323,481.8636025
818,32.68,342.3784726,481.0290818
819,32.72,342.0367037,479.5416021
820,32.76,341.6990877,478.0374997
821,32.8,341.3583528,476.5578415
822,32.84,341.0181753,475.082153
823,32.88,340.682224,473.5902715
824,32.92,340.3432368,472.1227882
825,32.96,340.0048831,470.6594591
826,33,339.6708266,469.1803548
827,33.04,339.3338122,467.7255867
828,33.08,338.9975036,466.2751432
829,33.12,338.6655604,464.8093288
830,33.16,338.3307318,463.3677727
831,33.2,337.9966772,461.9306968
832,33.24,337.6670531,460.4786404
833,33.28,337.3346107,459.0507482
834,33.32,337.2896519,457.7572276
835,33.36,337.2345097,456.4590287
836,33.4,337.1793949,455.1656203
837,33.44,337.1344589,453.8864002
838,33.48,337.0794077,452.602544
839,33.52,337.0345208,451.3328306
840,33.56,336.9795637,450.0585085
841,33.6,336.9347557,448.7982808
842,33.64,336.8799225,447.5334715
843,33.68,336.8352221,446.282705
844,33.72,336.7905783,445.0366488
845,33.76,336.7359765,443.7860505
846,33.8,336.6914817,442.5494124
847,33.84,336.6370734,441.3082581
848,33.88,336.5927538,440.0810058
849,33.92,336.5385651,438.8492626
850,33.96,336.4944462,437.6313605
851,34,336.4405021,436.4089925
852,34.04,336.3966081,435.2004023
853,34.08,336.3429329,433.9873705
854,34.12,336.2635963,431.7891794
855,34.16,336.1945263,429.6154744
856,34.2,336.1195517,427.4306801
857,34.24,336.0513426,425.2877524
858,34.28,335.9738528,423.1511481
859,34.32,335.9066324,421.0385392
860,34.36,335.8302474,418.9321718
861,34.4,335.764125,416.849535
862,34.44,335.6924013,414.7563431
863,34.48,335.6274697,412.7034366
864,34.52,335.5535926,410.6565807
865,34.56,335.4899494,408.6328905
866,34.6,335.4174638,406.6151444
867,34.64,335.3551908,404.6202683
868,34.68,335.2875878,402.6152591
869,34.72,335.2267523,400.6489002
870,34.76,335.1572686,398.688253
871,34.8,335.1572686,398.688253
872,34.84,335.1572686,398.688253
873,34.88,335.1572686,398.688253
874,34.92,335.1572686,398.688253
875,34.96,335.1572686,398.688253
876,35,335.1572686,398.688253
877,35.04,335.1572686,398.688253
878,35.08,335.1572686,398.688253
879,35.12,335.1572686,398.688253
880,35.16,335.1572686,398.688253
881,35.2,335.1572686,398.688253
882,35.24,335.1572686,398.688253
883,35.28,335.1572686,398.688253
884,35.32,335.1572686,398.688253
885,35.36,335.1572686,398.688253
886,35.4,335.1572686,398.688253
887,35.44,335.1572686,398.688253
888,35.48,335.1572686,398.688253
889,35.52,335.1572686,398.688253
890,35.56,335.1572686,398.688253
891,35.6,335.1572686,398.688253
892,35.64,335.1572686,398.688253
893,35.68,335.1572686,398.688253
894,35.72,335.1572686,398.688253
895,35.76,335.1572686,398.688253
896,35.8,335.1572686,398.688253
897,35.84,335.1572686,398.688253
898,35.88,335.1572686,398.688253
899,35.92,335.1572686,398.688253
900,35.96,335.1572686,398.688253
901,36,335.1572686,398.688253
902,36.04,335.1572686,398.688253
903,36.08,335.1572686,398.688253
904,36.12,335.1572686,398.688253
905,36.16,335.1572686,398.688253
906,36.2,335.1572686,398.688253
907,36.24,335.1572686,398.688253
908,36.28,335.1572686,398.688253
909,36.32,335.1572686,398.688253
910,36.36,335.1572686,398.688253
911,36.4,335.1572686,398.688253
912,36.44,335.1572686,398.688253
913,36.48,335.1572686,398.688253
914,36.52,335.1572686,398.688253
915,36.56,335.1572686,398.688253
916,36.6,335.1572686,398.688253
917,36.64,335.1572686,398.688253
918,36.68,335.1572686,398.688253
919,36.72,335.1572686,398.688253
920,36.76,335.1572686,398.688253
921,36.8,335.1572686,398.688253
922,36.84,335.1572686,398.688253
923,36.88,335.1572686,398.688253
924,36.92,335.1572686,398.688253
925,36.96,335.1572686,398.688253
926,37,335.1572686,398.688253
927,37.04,335.1572686,398.688253
928,37.08,335.1572686,398.688253
929,37.12,335.1279938,397.8951998
930,37.16,335.1082112,397.112716
931,37.2,335.0792001,396.3242465
932,37.24,335.0596583,395.5462933
933,37.28,335.0309147,394.7623779
934,37.32,335.0023124,393.9807381
935,37.36,334.9831446,393.2095348
936,37.4,334.954815,392.4324044
937,37.44,334.9266293,391.6575272
938,37.48,334.9078431,390.8930064
939,37.52,334.8765561,390.1378048
940,37.56,334.8580262,389.3776496
941,37.6,334.8304004,388.611625
942,37.64,334.8029222,387.8478159
943,37.68,334.7847852,387.0942301
944,37.72,334.7575915,386.3348097
945,37.76,334.7305474,385.5775816
946,37.8,334.7128092,384.8304966
