Sample,Time,XCenter,YCenter
204,8.12,275.3451347,325.5469191
205,8.16,275.3231764,325.6081287
206,8.2,275.3012131,325.6693561
207,8.24,275.2748508,325.7428523
208,8.28,275.2528768,325.8041187
209,8.32,275.2308979,325.8654029
210,8.36,275.2089142,325.9267048
211,8.4,275.1825272,326.0002906
212,8.44,275.1605327,326.0616316
213,8.48,275.1385333,326.1229904
214,8.52,275.116529,326.1843671
215,8.56,275.0945197,326.2457615
216,8.6,275.0681022,326.3194584
217,8.64,275.0460822,326.380892
218,8.68,275.0240573,326.4423435
219,8.72,275.0020275,326.5038129
220,8.76,274.9799928,326.5653001
221,8.8,274.9535446,326.6391083
222,8.84,274.9314991,326.7006349
223,8.88,274.9094486,326.7621793
224,8.92,274.8873932,326.8237416
225,8.96,274.8609203,326.89764
226,9,274.838854,326.9592418
227,9.04,274.8167829,327.0208614
228,9.08,274.8432677,326.94692
229,9.12,274.8697454,326.8730044
230,9.16,274.896216,326.7991145
231,9.2,274.9270894,326.7129423
232,9.24,274.9535446,326.6391083
233,9.28,274.9799928,326.5653001
234,9.32,275.0064339,326.4915176
235,9.36,275.0328679,326.4177608
236,9.4,275.0592948,326.3440297
237,9.44,275.0901173,326.2580425
238,9.48,275.116529,326.1843671
239,9.52,275.1429335,326.1107172
240,9.56,275.1693311,326.0370931
241,9.6,275.1957215,325.9634945
242,9.64,275.222105,325.8899215
243,9.68,275.2484814,325.8163742
244,9.72,275.279245,325.7306012
245,9.76,275.3056062,325.6571092
246,9.8,275.3319603,325.5836427
247,9.84,275.3583074,325.5102018
248,9.88,275.3846476,325.4367863
249,9.92,275.4109807,325.3633964
250,9.96,275.4416938,325.277807
251,10,275.4680117,325.2044722
252,10.04,275.4943226,325.1311628
253,10.08,275.5206266,325.0578789
254,10.12,275.5469236,324.9846204
255,10.16,275.5732135,324.9113873
256,10.2,275.5994965,324.8381795
257,10.24,275.6301512,324.7528025
258,10.28,275.6564191,324.6796497
259,10.32,275.6826801,324.6065222
260,10.36,275.708934,324.53342
261,10.4,275.7351811,324.4603431
262,10.44,275.7614211,324.3872914
263,10.48,275.7920258,324.3020964
264,10.52,275.8182508,324.2290995
265,10.56,275.8444689,324.1561278
266,10.6,275.87068,324.0831814
267,10.64,275.8191499,323.9107127
268,10.68,275.7632887,323.7505078
269,10.72,275.7118337,323.5782809
270,10.76,275.6560468,323.4183006
271,10.8,275.6046667,323.2463146
272,10.84,275.5489537,323.0865582
273,10.88,275.4976484,322.9148125
274,10.92,275.4463806,322.743191
275,10.96,275.3907784,322.5837732
276,11,275.3395849,322.4123908
277,11.04,275.2840561,322.2531951
278,11.08,275.2329368,322.0820512
279,11.12,275.1774812,321.9230771
280,11.16,275.1339685,321.7573794
281,11.2,275.0829574,321.5865923
282,11.24,275.0276087,321.4279495
283,11.28,274.9766712,321.2573991
284,11.32,274.9213952,321.0989762
285,11.36,274.870531,320.9286617
286,11.4,274.8153275,320.7704579
287,11.44,274.7645365,320.6003787
288,11.48,274.7137821,320.430421
289,11.52,274.658687,320.2725487
