Sample,Time,X.center,Y.center,,,
530,21.16,292.4132418,306.4636125,,,
531,21.2,292.4004677,306.3447435,,,
532,21.24,292.3911243,306.242033,,,
533,21.28,292.3817876,306.1393684,,,
534,21.32,292.3651565,306.0317563,,,
535,21.36,292.3558346,305.9291855,,,
536,21.4,292.3465192,305.8266606,,,
537,21.44,292.3299147,305.7191942,,,
538,21.48,292.3206141,305.6167628,,,
539,21.52,292.3113201,305.5143771,,,
540,21.56,292.2986234,305.3959977,,,
541,21.6,292.2893438,305.2937104,,,
542,21.64,292.2800708,305.1914686,,,
543,21.68,292.2635191,305.0842978,,,
544,21.72,292.2542607,304.9821491,,,
545,21.76,292.2450089,304.8800458,,,
546,21.8,292.2284835,304.7730196,,,
547,21.84,292.2192464,304.6710091,,,
548,21.88,292.2100158,304.569044,,,
549,21.92,292.1973959,304.4511501,,,
550,21.96,292.1881796,304.3492825,,,
551,22,292.1789698,304.2474601,,,
552,22.04,292.1624968,304.1407271,,,
553,22.08,292.1533016,304.0389969,,,
554,22.12,292.1441128,303.9373119,,,
555,22.16,292.127666,303.8307222,,,
556,22.2,292.1184918,303.7291292,,,
557,22.24,292.109324,303.6275811,,,
558,22.28,292.0967804,303.5101688,,,
559,22.32,292.0876269,303.4087175,,,
560,22.36,292.0784798,303.3073111,,,
561,22.4,292.0620849,303.2010122,,,
562,22.44,292.0529523,303.0996972,,,
563,22.48,292.0438261,302.998427,,,
564,22.52,292.0274572,302.8922703,,,
565,22.56,292.0183454,302.7910913,,,
566,22.6,292.00924,302.689957,,,
567,22.64,291.996772,302.5730223,,,
568,22.68,291.9876808,302.4719839,,,
569,22.72,291.9785959,302.37099,,,
570,22.76,291.9622786,302.2651216,,,
571,22.8,291.9532081,302.1642185,,,
572,22.84,291.9441439,302.0633597,,,
573,22.88,291.9278523,301.9576324,,,
574,22.92,291.9188025,301.8568641,,,
575,22.96,291.909759,301.7561401,,,
576,23,291.897366,301.6396791,,,
577,23.04,291.8883366,301.5390503,,,
578,23.08,291.8793134,301.4384655,,,
579,23.12,291.863073,301.3330243,,,
580,23.16,291.8540641,301.2325296,,,
581,23.2,291.8450615,301.1320789,,,
582,23.24,291.8288467,301.0267774,,,
583,23.28,291.8198583,300.9264165,,,
