Sample,Time,XCenter,YCenter
777,31.04,288.9654346,322.4182036
778,31.08,288.9654346,322.4182036
779,31.12,288.9654346,322.4182036
780,31.16,288.9654346,322.4182036
781,31.2,288.9729732,322.4240529
782,31.24,288.9729732,322.4240529
783,31.28,288.9729732,322.4240529
784,31.32,288.9729732,322.4240529
785,31.36,288.9729732,322.4240529
786,31.4,288.9729732,322.4240529
787,31.44,288.980512,322.4299024
788,31.48,288.980512,322.4299024
789,31.52,288.980512,322.4299024
790,31.56,288.980512,322.4299024
791,31.6,288.980512,322.4299024
792,31.64,288.980512,322.4299024
793,31.68,288.9880509,322.4357521
794,31.72,288.9880509,322.4357521
795,31.76,288.9880509,322.4357521
796,31.8,288.9880509,322.4357521
797,31.84,288.9880509,322.4357521
798,31.88,288.9880509,322.4357521
799,31.92,288.99559,322.441602
800,31.96,288.99559,322.441602
801,32,288.99559,322.441602
802,32.04,288.99559,322.441602
803,32.08,288.99559,322.441602
804,32.12,288.99559,322.441602
805,32.16,289.0031292,322.4474521
806,32.2,289.0031292,322.4474521
807,32.24,289.0031292,322.4474521
808,32.28,289.0031292,322.4474521
809,32.32,289.0031292,322.4474521
810,32.36,289.0031292,322.4474521
811,32.4,289.0106685,322.4533024
812,32.44,289.0106685,322.4533024
813,32.48,289.0106685,322.4533024
814,32.52,289.0106685,322.4533024
815,32.56,289.0106685,322.4533024
816,32.6,289.0106685,322.4533024
817,32.64,289.018208,322.459153
818,32.68,289.018208,322.459153
819,32.72,289.018208,322.459153
820,32.76,289.018208,322.459153
821,32.8,289.018208,322.459153
822,32.84,289.018208,322.459153
823,32.88,289.0257477,322.4650037
824,32.92,289.0257477,322.4650037
825,32.96,289.0257477,322.4650037
826,33,289.0257477,322.4650037
827,33.04,289.0257477,322.4650037
828,33.08,289.0257477,322.4650037
829,33.12,289.0332874,322.4708546
830,33.16,289.0332874,322.4708546
831,33.2,289.0332874,322.4708546
832,33.24,289.0332874,322.4708546
833,33.28,289.0332874,322.4708546
834,33.32,289.0332874,322.4708546
835,33.36,289.0332874,322.4708546
836,33.4,289.0408274,322.4767057
837,33.44,289.0408274,322.4767057
838,33.48,289.0408274,322.4767057
839,33.52,289.0408274,322.4767057
840,33.56,289.0408274,322.4767057
841,33.6,289.0408274,322.4767057
842,33.64,289.0483674,322.482557
843,33.68,289.0483674,322.482557
844,33.72,289.0483674,322.482557
845,33.76,289.0483674,322.482557
846,33.8,289.0483674,322.482557
847,33.84,289.0483674,322.482557
848,33.88,289.0559076,322.4884086
849,33.92,289.0559076,322.4884086
850,33.96,289.0559076,322.4884086
851,34,289.0559076,322.4884086
852,34.04,289.0559076,322.4884086
853,34.08,289.0559076,322.4884086
854,34.12,289.063448,322.4942603
855,34.16,289.063448,322.4942603
856,34.2,289.063448,322.4942603
857,34.24,289.063448,322.4942603
858,34.28,289.063448,322.4942603
859,34.32,289.063448,322.4942603
860,34.36,289.0709885,322.5001122
861,34.4,289.0709885,322.5001122
862,34.44,289.0709885,322.5001122
863,34.48,289.0709885,322.5001122
864,34.52,289.0709885,322.5001122
865,34.56,289.0709885,322.5001122
866,34.6,289.0785291,322.5059644
867,34.64,289.0785291,322.5059644
868,34.68,289.0785291,322.5059644
869,34.72,289.0785291,322.5059644
870,34.76,289.0785291,322.5059644
871,34.8,289.0785291,322.5059644
872,34.84,289.0860699,322.5118167
873,34.88,289.0860699,322.5118167
874,34.92,289.0860699,322.5118167
875,34.96,289.0860699,322.5118167
876,35,289.0860699,322.5118167
877,35.04,289.0860699,322.5118167
878,35.08,289.0936109,322.5176693
879,35.12,289.0936109,322.5176693
880,35.16,289.0936109,322.5176693
881,35.2,289.0936109,322.5176693
882,35.24,289.0936109,322.5176693
883,35.28,289.0936109,322.5176693
884,35.32,289.1011519,322.523522
885,35.36,289.1011519,322.523522
886,35.4,289.1011519,322.523522
887,35.44,289.1011519,322.523522
888,35.48,289.1011519,322.523522
889,35.52,289.1011519,322.523522
890,35.56,289.1086931,322.5293749
891,35.6,289.1086931,322.5293749
892,35.64,289.1086931,322.5293749
893,35.68,289.1086931,322.5293749
894,35.72,289.1086931,322.5293749
895,35.76,289.1086931,322.5293749
896,35.8,289.1086931,322.5293749
897,35.84,289.1162345,322.5352281
898,35.88,289.1162345,322.5352281
899,35.92,289.1162345,322.5352281
900,35.96,289.1162345,322.5352281
901,36,289.1162345,322.5352281
902,36.04,289.1162345,322.5352281
903,36.08,289.123776,322.5410814
904,36.12,289.123776,322.5410814
905,36.16,289.123776,322.5410814
906,36.2,289.123776,322.5410814
907,36.24,289.123776,322.5410814
908,36.28,289.123776,322.5410814
909,36.32,289.1313176,322.546935
910,36.36,289.1313176,322.546935
911,36.4,289.1313176,322.546935
912,36.44,289.1313176,322.546935
913,36.48,289.1313176,322.546935
914,36.52,289.1313176,322.546935
915,36.56,289.1388594,322.5527888
