Sample,Time,X.center,Y.center,,,
1134,45.32,290.5021267,323.7492444,,,
1135,45.36,290.4664173,323.8415821,,,
1136,45.4,290.4306958,323.9339628,,,
1137,45.44,290.3949623,324.0263865,,,
1138,45.48,290.3592167,324.1188531,,,
1139,45.52,290.323459,324.2113628,,,
1140,45.56,290.2803227,324.2993301,,,
1141,45.6,290.2445396,324.3919246,,,
1142,45.64,290.2087443,324.4845621,,,
1143,45.68,290.1729369,324.5772429,,,
1144,45.72,290.1371174,324.6699668,,,
1145,45.76,290.1188172,324.6729515,,,
1146,45.8,290.1005168,324.6759366,,,
1147,45.84,290.0895875,324.6835135,,,
1148,45.88,290.0712865,324.6864996,,,
1149,45.92,290.0529853,324.6894863,,,
1150,45.96,290.0346838,324.6924736,,,
1151,46,290.0163821,324.6954614,,,
1152,46.04,289.9980802,324.6984497,,,
1153,46.08,289.9871486,324.7060292,,,
1154,46.12,289.9688461,324.7090185,,,
1155,46.16,289.9505433,324.7120084,,,
1156,46.2,289.9322402,324.7149988,,,
1157,46.24,289.9103738,324.7301617,,,
1158,46.28,289.8994401,324.7377438,,,
1159,46.32,289.8811357,324.7407361,,,
1160,46.36,289.8628311,324.7437289,,,
1161,46.4,289.8445262,324.7467222,,,
1162,46.44,289.826221,324.7497161,,,
1163,46.48,289.8079156,324.7527106,,,
1164,46.52,289.7969797,324.7602954,,,
1165,46.56,289.7786737,324.7632908,,,
1166,46.6,289.7603674,324.7662868,,,
1167,46.64,289.7420609,324.7692833,,,
1168,46.68,289.7237542,324.7722803,,,
1169,46.72,289.7128164,324.7798673,,,
1170,46.76,289.694509,324.7828654,,,
1171,46.8,289.6762015,324.785864,,,
1172,46.84,289.6578936,324.7888631,,,
1173,46.88,289.6395855,324.7918628,,,
1174,46.92,289.6212772,324.794863,,,
1175,46.96,289.6103372,324.8024526,,,
1176,47,289.5920282,324.8054539,,,
1177,47.04,289.573719,324.8084556,,,
1178,47.08,289.5554096,324.811458,,,
1179,47.12,289.5370999,324.8144608,,,
1180,47.16,289.526158,324.8220526,,,
1181,47.2,289.5078477,324.8250565,,,
1182,47.24,289.4895371,324.8280609,,,
1183,47.28,289.4676507,324.8432476,,,
1184,47.32,289.4493392,324.8462534,,,
1185,47.36,289.4310274,324.8492598,,,
1186,47.4,289.4200829,324.8568547,,,
1187,47.44,289.4017705,324.8598621,,,
1188,47.48,289.3834578,324.8628699,,,
1189,47.52,289.3651449,324.8658784,,,
1190,47.56,289.3468317,324.8688874,,,
1191,47.6,289.3358854,324.8764845,,,
