Sample,Time,XCenter,YCenter
255,10.16,285.1078313,323.4175462
256,10.2,284.8786188,323.3351039
257,10.24,284.6421277,323.247248
258,10.28,284.4130427,323.1650241
259,10.32,284.1840192,323.082907
260,10.36,283.9550568,323.0008966
261,10.4,283.718828,322.9134895
262,10.44,283.4899893,322.8316945
263,10.48,283.2612114,322.7500077
264,10.52,283.0324932,322.668427
265,10.56,282.8038341,322.5869523
266,10.6,282.5639433,322.5121301
267,10.64,282.3353993,322.4308688
268,10.68,282.1069134,322.349713
269,10.72,281.8784852,322.2686626
270,10.76,281.6501144,322.1877174
271,10.8,281.4145066,322.1014172
272,10.84,281.1862527,322.0206863
273,10.88,280.9580549,321.9400602
274,10.92,280.729913,321.8595388
275,10.96,280.4945456,321.7736788
276,11,280.2665177,321.693371
277,11.04,280.0385443,321.6131668
278,11.08,279.8106252,321.5330667
279,11.12,279.5827601,321.4530704
280,11.16,279.3476834,321.367756
281,11.2,279.1199283,321.2879713
282,11.24,278.8922259,321.20829
283,11.28,278.6645761,321.128712
284,11.32,278.4297256,321.043832
285,11.36,278.1980942,320.9764492
286,11.4,277.9705968,320.897182
287,11.44,276.5395535,320.4340086
288,11.48,275.1102305,319.9747461
289,11.52,273.6825358,319.5193581
290,11.56,272.2563774,319.0678078
291,11.6,270.8273895,318.6319861
292,11.64,269.4039921,318.1879893
293,11.68,267.9818559,317.7477183
294,11.72,266.5608896,317.3111353
295,11.76,265.1481027,316.8833835
296,11.8,263.7247335,316.4659216
297,11.84,262.3066816,316.0401442
298,11.88,260.8894374,315.6179038
299,11.92,259.4729112,315.1991629
300,11.96,258.0570135,314.7838838
301,12,256.900594,314.2396047
302,12.04,255.7524978,313.7032783
303,12.08,254.5986324,313.1647901
304,12.12,253.4459674,312.6291546
305,12.16,252.3061738,312.0895379
306,12.2,251.1557639,311.5594981
307,12.24,250.0133492,311.0371328
308,12.28,248.8649505,310.5125341
309,12.32,247.722345,309.9789118
310,12.36,246.5827128,309.4645211
311,12.4,245.4369678,308.9478544
312,12.44,244.2919959,308.433766
313,12.48,243.1596269,307.9153919
314,12.52,242.0160669,307.4063577
315,12.56,240.8800134,306.9045804
316,12.6,240.4393284,306.5991615
317,12.64,239.9989221,306.2943085
318,12.68,239.5656659,305.9947683
319,12.72,239.1258017,305.6910281
320,12.76,238.693072,305.3925765
321,12.8,238.2537355,305.0899354
322,12.84,237.8146594,304.7878432
323,12.88,237.3826948,304.4910037
324,12.92,236.9441247,304.1899904
325,12.96,236.5058044,303.8895156
326,13,236.074573,303.5942586
327,13.04,235.6367374,303.2948428
328,13.08,235.2059763,303.0006217
329,13.12,234.7686113,302.7022517
330,13.16,234.3314782,302.4044038
331,13.2,233.9013984,302.1117165
332,13.24,233.4647151,301.8148949
333,13.28,233.0282533,301.5185857
334,13.32,232.598824,301.2274036
335,13.36,232.162791,300.9320997
336,13.4,231.7337775,300.641903
337,13.44,231.2981604,300.3475956
338,13.48,230.7379809,299.8801057
339,13.52,230.1768241,299.3977903
340,13.56,229.6177108,298.9325095
341,13.6,229.0523247,298.4637554
342,13.64,228.4942306,298.0006278
343,13.68,227.935195,297.5227508
344,13.72,227.3780985,297.0617554
345,13.76,226.8147144,296.5972926
346,13.8,226.2585692,296.1383747
347,13.84,225.7015176,295.6647812
348,13.88,225.146303,295.2079206
349,13.92,224.5847855,294.7475983
350,13.96,224.0304562,294.2927419
351,14,223.4752546,293.8232816
352,14.04,222.9217905,293.3704098
353,14.08,222.1588296,293.2367366
354,14.12,221.3884908,293.0992919
355,14.16,220.6242352,292.9669189
356,14.2,219.8593142,292.8351888
357,14.24,219.086974,292.6996972
358,14.28,218.3206831,292.5692507
359,14.32,217.5536893,292.439439
360,14.36,216.78598,292.3102596
361,14.4,216.0107948,292.1773321
362,14.44,215.2416152,292.0494153
363,14.48,214.4716825,291.9221231
364,14.52,213.6942299,291.7910927
365,14.56,212.9227511,291.6650481
366,14.6,212.1504815,291.5396207
367,14.64,211.3706467,291.4104649
368,14.68,210.8570608,290.0409994
369,14.72,210.3387647,288.6745051
370,14.76,209.8282795,287.3042253
371,14.8,209.3206977,285.9563575
372,14.84,208.8083492,284.6112073
