Sample,Time,XCenter,YCenter
430,17.16,260.5487209,311.0887126
431,17.2,260.3743905,311.2984805
432,17.24,260.1998856,311.5085119
433,17.28,260.0252056,311.7188072
434,17.32,259.8575564,311.9347745
435,17.36,259.6825282,312.1456023
436,17.4,259.507324,312.3566959
437,17.44,259.3319431,312.5680557
438,17.48,259.1636032,312.7851018
439,17.52,258.9878709,312.9969988
440,17.56,258.8119609,313.2091638
441,17.6,258.6358727,313.4215974
442,17.64,258.4668358,313.6397319
443,17.68,258.290393,313.8527074
444,17.72,258.1137707,314.0659532
445,17.76,257.9369687,314.27947
446,17.8,257.7672284,314.4987022
447,17.84,257.5900685,314.7127657
448,17.88,257.4127275,314.9271018
449,17.92,257.2352051,315.1417113
450,17.96,257.0647549,315.362051
451,18,256.8868713,315.577212
452,18.04,256.708805,315.7926481
453,18.08,256.5305555,316.0083599
454,18.12,256.3593889,316.2298167
455,18.16,256.1807749,316.4460849
456,18.2,256.0019766,316.6626306
457,18.24,255.8229934,316.8794546
458,18.28,255.643825,317.0965573
459,18.32,255.4717527,317.3194235
460,18.36,255.2922155,317.5370888
461,18.4,255.1124919,317.7550346
462,18.44,254.9325812,317.9732618
463,18.48,254.7597774,318.1972675
464,18.52,254.5794946,318.4160621
465,18.56,254.3990236,318.6351399
466,18.6,254.2183639,318.8545015
467,18.64,254.0448217,319.0796567
468,18.68,253.8637864,319.2995909
469,18.72,253.6825611,319.5198107
470,18.76,253.5011453,319.7403168
471,18.8,253.326858,319.9666318
472,18.84,253.1450631,320.1877156
473,18.88,252.9630765,320.4090877
474,18.92,252.7808976,320.6307486
475,18.96,252.6058582,320.8582337
476,19,252.4232967,321.0804775
477,19.04,252.2405416,321.3030121
478,19.08,252.0575925,321.5258382
479,19.12,251.8817939,321.7545039
480,19.16,251.6984586,321.9779181
481,19.2,251.5149279,322.2016257
482,19.24,251.3312014,322.4256275
483,19.28,251.1472786,322.649924
484,19.32,250.9705202,322.8800795
485,19.36,250.7862067,323.1049707
486,19.4,250.6016955,323.3301587
487,19.44,250.4169862,323.5556442
488,19.48,250.2394524,323.7870043
489,19.52,250.0543487,324.0130898
490,19.56,249.8690454,324.2394749
491,19.6,249.6835422,324.46616
492,19.64,249.5052258,324.6987356
493,19.68,249.3193244,324.9260263
494,19.72,249.1332216,325.1536192
495,19.76,248.946917,325.381515
496,19.8,248.7678106,325.6153171
497,19.84,248.581104,325.8438239
498,19.88,248.3941941,326.0726357
499,19.92,248.2070805,326.3017532
500,19.96,248.0271766,326.5367929
501,20,247.8396573,326.766527
502,20.04,247.6519327,326.9965688
503,20.08,247.4640024,327.2269191
504,20.12,247.2832934,327.4632077
505,20.16,247.0949536,327.6941803
506,20.2,246.9064067,327.9254635
507,20.24,246.717652,328.1570579
508,20.28,246.5361302,328.3946069
509,20.32,246.3469622,328.6268293
510,20.36,246.157585,328.8593652
511,20.4,245.9679981,329.0922152
512,20.44,245.7782011,329.3253801
513,20.48,245.5956516,329.5645199
514,20.52,245.4054362,329.7983201
515,20.56,245.2150093,330.0324373
516,20.6,245.0243701,330.2668722
517,20.64,244.8409902,330.5072986
518,20.68,244.6499287,330.7423748
519,20.72,244.4586536,330.9777709
520,20.76,244.2671642,331.2134877
521,20.8,244.0829461,331.4552126
522,20.84,243.8910303,331.6915765
523,20.88,243.6988989,331.9282634
524,20.92,243.5065512,332.165274
525,20.96,243.3214866,332.4083093
526,21,243.1287084,332.645973
527,21.04,242.9357124,332.8839628
528,21.08,242.7424982,333.1222792
529,21.12,242.556579,333.3666372
530,21.16,242.3629301,333.6056129
531,21.2,242.1690613,333.8449176
532,21.24,241.9749721,334.0845521
533,21.28,241.7881902,334.3302451
534,21.32,241.5936621,334.570545
535,21.36,241.398912,334.811177
536,21.4,241.2039394,335.0521419
537,21.44,241.0162863,335.2991824
538,21.48,240.8208706,335.5408189
539,21.52,240.6252308,335.7827907
540,21.56,240.4293663,336.0250986
541,21.6,240.2332765,336.2677433
542,21.64,240.0445216,336.516485
543,21.68,239.8479833,336.7598093
544,21.72,239.6512182,337.0034727
545,21.76,239.4542257,337.2474762
546,21.8,239.2645803,337.4975941
547,21.84,239.0671349,337.7422836
548,21.88,238.8694605,337.9873155
549,21.92,238.6715564,338.2326907
550,21.96,238.4810119,338.4841977
551,22,238.4023929,339.1058235
552,22.04,238.3312223,339.7349129
553,22.08,238.2599095,340.3656861
554,22.12,238.1808283,340.9923136
555,22.16,238.10922,341.6264664
556,22.2,238.0374674,342.2623276
557,22.24,237.9655698,342.8999056
558,22.28,237.8858649,343.5333199
559,22.32,237.8136659,344.1743436
560,22.36,237.7413197,344.8171093
561,22.4,237.6611367,345.4556976
562,22.44,237.5884847,346.1019597
563,22.48,237.5156831,346.7499895
564,22.52,237.4427314,347.3997956
565,22.56,237.3619029,348.0454059
566,22.6,237.2886391,348.6987775
567,22.64,237.2152228,349.3539518
568,22.68,237.1338995,350.0049163
569,22.72,237.0601664,350.663709
570,22.76,236.9862784,351.3243313
571,22.8,236.6822269,352.5296112
572,22.84,236.3690121,353.7351833
573,22.88,236.0622178,354.9532745
574,22.92,235.7540417,356.1778721
575,22.96,235.4366114,357.4028669
576,23,235.1256151,358.6406334
577,23.04,234.8131978,359.8850885
578,23.08,234.4914333,361.1300506
579,23.12,234.1761157,362.3880453
580,23.16,233.8593364,363.6529178
581,23.2,233.5410815,364.9247327
582,23.24,233.2133516,366.1972082
583,23.28,232.8920848,367.4830785
584,23.32,232.5692996,368.7760896
585,23.36,232.2369408,370.0698823
586,23.4,231.9110562,371.3773523
587,23.44,231.5836089,372.6921689
588,23.48,231.2545835,374.0144026
589,23.52,230.9158489,375.3375874
590,23.56,230.5836023,376.6748416
591,23.6,230.6280373,376.487199
592,23.64,230.673694,376.3230383
593,23.68,230.7180699,376.1356755
594,23.72,230.755545,375.9652108
595,23.76,230.807987,375.7846773
596,23.8,230.8522741,375.5977416
597,23.84,230.897789,375.4342032
598,23.88,230.9420174,375.2475455
599,23.92,230.9793637,375.0777203
600,23.96,231.0316459,374.8978715
601,24,231.075786,374.7116382
602,24.04,231.1130553,374.5421977
603,24.08,231.1652418,374.362761
604,24.12,231.2024602,374.1935711
605,24.16,231.2545835,374.0144026
606,24.2,231.2985777,373.8288672
607,24.24,231.3357195,373.6600597
608,24.28,231.3877478,373.4813006
609,24.32,231.4248391,373.312742
610,24.36,231.4687202,373.1277587
611,24.4,231.5206538,372.9494076
612,24.44,231.557669,372.7812289
613,24.48,231.6095401,372.6031432
614,24.52,231.6465051,372.4352119
615,24.56,231.6902419,372.2509186
616,24.6,231.7420188,372.0732383
617,24.64,231.7789083,371.9056845
618,24.68,231.8225588,371.7218066
619,24.72,231.8674628,371.5609599
620,24.76,231.9110562,371.3773523
621,24.8,231.9546207,371.1938881
622,24.84,231.9994421,371.0334056
623,24.88,232.0429497,370.8502107
624,24.92,232.0877166,370.6899653
625,24.96,232.1311676,370.507039
626,25,232.1745898,370.3242552
627,25.04,232.2192747,370.1643717
628,25.08,232.2626404,369.9818555
629,25.12,232.299234,369.8157858
630,25.16,232.3505806,369.6399582
631,25.2,232.3938615,369.4578505
632,25.24,232.4384106,369.2985622
633,25.28,232.4816354,369.1167204
634,25.32,232.518106,368.9512623
635,25.36,232.5692996,368.7760896
636,25.4,232.6124401,368.5946537
637,25.44,232.6488371,368.4295638
638,25.48,232.6999392,368.2547852
639,25.52,232.7362875,368.0899348
640,25.56,232.7873291,367.9154129
641,25.6,232.7949892,368.1797888
642,25.64,232.7946419,368.4380511
643,25.68,232.8023183,368.7029835
644,25.72,232.8100047,368.9681979
645,25.76,232.8177011,369.233695
646,25.8,232.8254077,369.4994753
647,25.84,232.8331243,369.7655393
648,25.88,232.8408511,370.0318876
649,25.92,232.848588,370.2985208
650,25.96,232.8563351,370.5654393
651,26,232.8640923,370.8326439
652,26.04,232.8718598,371.1001349
653,26.08,232.8796375,371.3679131
654,26.12,232.8874254,371.6359788
655,26.16,232.8952235,371.9043328
656,26.2,232.903032,372.1729755
657,26.24,232.9108507,372.4419075
658,26.28,232.9186797,372.7111294
659,26.32,232.9265191,372.9806418
660,26.36,232.9343688,373.2504452
661,26.4,232.9341394,373.5140251
662,26.44,232.9420061,373.7844057
663,26.48,232.9498831,374.0550791
664,26.52,232.9577706,374.3260457
665,26.56,232.9656685,374.5973062
666,26.6,232.9735769,374.8688611
667,26.64,232.9814957,375.140711
668,26.68,232.9894251,375.4128565
669,26.72,232.997365,375.6852982
670,26.76,233.0053154,375.9580366
671,26.8,233.0132764,376.2310723
672,26.84,233.021248,376.504406
673,26.88,233.0292302,376.7780381
674,26.92,233.037223,377.0519693
675,26.96,233.0452264,377.3262002
676,27,233.0532406,377.6007313
677,27.04,233.0612654,377.8755633
678,27.08,233.0693009,378.1506967
679,27.12,233.0773471,378.4261322
680,27.16,233.0854041,378.7018702
681,27.2,233.0853043,378.9712644
682,27.24,233.0933788,379.2476027
683,27.28,233.1014642,379.5242454
684,27.32,233.1095604,379.8011931
685,27.36,233.1176674,380.0784464
686,27.4,233.1257853,380.3560059
687,27.44,233.133914,380.6338722
688,27.48,233.1420537,380.9120459
689,27.52,233.1502043,381.1905277
690,27.56,233.1583658,381.469318
691,27.6,233.1665383,381.7484176
692,27.64,233.1747218,382.027827
693,27.68,233.1829163,382.3075469
694,27.72,233.1911218,382.5875778
695,27.76,233.1993383,382.8679204
696,27.8,233.207566,383.1485753
697,27.84,233.2158047,383.4295431
698,27.88,233.2240545,383.7108244
699,27.92,233.2323155,383.9924199
700,27.96,233.2405876,384.2743302
701,28,233.1237668,384.8442629
702,28.04,233.0149723,385.4223534
703,28.08,232.9045901,385.977593
704,28.12,232.7953603,386.5584032
705,28.16,232.6776256,387.1337667
706,28.2,232.5679461,387.7173616
707,28.24,232.4497432,388.2954947
708,28.28,232.3465636,388.8642629
709,28.32,232.2279,389.4451446
710,28.36,232.1173209,390.0343326
711,28.4,231.9981814,390.6180287
712,28.44,231.8871413,391.2100694
713,28.48,231.7745307,391.7787499
714,28.52,231.6630369,392.3736215
715,28.56,231.5429453,392.9629707
716,28.6,231.4309829,393.5607413
717,28.64,231.3104037,394.1529738
718,28.68,231.2050333,394.7355903
719,28.72,231.0839739,395.3306845
720,28.76,230.9710735,395.9342783
721,28.8,230.8495184,396.5323028
722,28.84,230.7361374,397.1388669
723,28.88,230.6212044,397.7215414
724,28.92,230.5073502,398.3310535
725,28.96,230.3848029,398.9349649
726,29,230.2704599,399.5474961
727,29.04,230.1474043,400.1544104
728,29.08,230.0397486,400.7514478
729,29.12,229.9161925,401.3613427
730,29.16,229.8008711,401.979939
731,29.2,229.6767982,402.5928863
732,29.24,229.5609754,403.2145767
733,29.28,229.4436211,403.8118266
734,29.32,229.3273046,404.4365881
735,29.36,229.202197,405.055668
736,29.4,229.0853706,405.6835749
737,29.44,228.959733,406.3057835
738,29.48,228.8496923,406.9178427
739,29.52,228.7235326,407.5431568
740,29.56,228.605685,408.177383
741,29.6,228.4789863,408.8058778
742,29.64,228.3606154,409.4433283
743,29.68,228.240735,410.055765
744,29.72,228.1218487,410.696416
745,29.76,227.9940707,411.3313019
746,29.8,227.8746519,411.975231
747,29.84,227.7549698,412.6208173
748,29.88,227.6337898,413.2410939
749,29.92,227.513581,413.8899479
750,29.96,227.384429,414.532994
751,30,227.0710366,415.3585267
752,30.04,226.7566777,416.1869623
753,30.08,226.4413464,417.0183095
754,30.12,226.1250372,417.8525887
755,30.16,225.8077443,418.6898167
756,30.2,225.4894621,419.5300103
757,30.24,225.1701847,420.3731866
758,30.28,224.8499064,421.2193627
759,30.32,224.5286212,422.0685559
760,30.36,224.2063232,422.9207836
761,30.4,223.8830066,423.7760633
762,30.44,223.5586651,424.6344127
